"Game Number","Team 1","Team 2","Winner","Team 1 is Winner of","Team 2 is Winner of","Team 1 is Loser of","Team 2 is Loser of","Num Ots","Cupdifs"
"151","Cupittaa :D","Juhani&Juhani"," "," "," "," "," ","0","0"
"152","Tuli ja Liike","Buffalo"," "," "," "," "," ","0","0"
"153","Hunajapallot","Kepän-pojat"," "," "," "," "," ","0","0"
"154","Hoitsupong","Lähteenkorvat"," "," "," "," "," ","0","0"
"155","Beer Pong Artists","Riski ja Tuotto"," "," "," "," "," ","0","0"
"156","VVVH","Beer Hunters"," "," "," "," "," ","0","0"
"157","Rainbow Unicorns","Team"," "," "," "," "," ","0","0"
"158","Trashman","Menkää Töihin"," "," "," "," "," ","0","0"
"159","SeveeenOtto","Dynamic Duo"," "," "," "," "," ","0","0"
"160","Pablo sekä ville","Verkot on tulevaisuus"," "," "," "," "," ","0","0"
"161","Sjampone","Pienet Pallerot"," "," "," "," "," ","0","0"
"162","Ajokunto","Pyhän Katariinan Neitsyet"," "," "," "," "," ","0","0"
"163","Tää :D","DicciHiiret"," "," "," "," "," ","0","0"
"164","Fibeli","Game of throws"," "," "," "," "," ","0","0"
"165","LePi","Kohtuporat"," "," "," "," "," ","0","0"
"166","GSU Darras Taas","Hole in one"," "," "," "," "," ","0","0"
"167","Star Frame","Bergans"," "," "," "," "," ","0","0"
"168","Lpr Mombasa","BJs"," "," "," "," "," ","0","0"
"169","Veli Auta!","Team Lokki"," "," "," "," "," ","0","0"
"170","Salotie","Pharmabong"," "," "," "," "," ","0","0"
"171","El Farso","Bolt Throwers"," "," "," "," "," ","0","0"
"172","Thibot","Pöydänpään karvaajat"," "," "," "," "," ","0","0"
"173","ikikinq","Longshot Strike Bois"," "," "," "," "," ","0","0"
"174","MiNi","Spurgos"," "," "," "," "," ","0","0"
"175","KOFF","Kim Pong-un"," "," "," "," "," ","0","0"
"176","Oldies But Goldies","Squirrel barrel"," "," "," "," "," ","0","0"
"177","Siwzzfinnishboys","Pehmeät jänikset"," "," "," "," "," ","0","0"
"178","Los PilluMatadorit","Tehotytöt"," "," "," "," "," ","0","0"
"179","Mug Riders","PP"," "," "," "," "," ","0","0"
"180","Kill Shot","Helppoo ja Kivaa"," "," "," "," "," ","0","0"
"181","OG-Pöllötin","Last Warning"," "," "," "," "," ","0","0"
"182","one shot one kill","Brunchies"," "," "," "," "," ","0","0"
"183","Muna ja Kana","Birch Bark Alley Official"," "," "," "," "," ","0","0"
"184","Stay hydrated","Stralina"," "," "," "," "," ","0","0"
"185","Q_Q","Bollinger"," "," "," "," "," ","0","0"
"186","Tuttisuut","Nopeet Pongit"," "," "," "," "," ","0","0"
"187","Nahkaparonit","Diggoo"," "," "," "," "," ","0","0"
"188","Heavenly Peace Gods from Heaven 777","Corona Storm"," "," "," "," "," ","0","0"
"189","Börsta khæisch","Ohuet Pohkeet"," "," "," "," "," ","0","0"
"190","Super Team Dynamiitti","BPC Niskalima"," "," "," "," "," ","0","0"
"191","Nettisankarit","Team Cup Hunters"," "," "," "," "," ","0","0"
"192","Terhospruits","Balotalli & kannettava"," "," "," "," "," ","0","0"
